hero_names,power,present
One-Above-All,Agility,TRUE
Onslaught,Agility,FALSE
Oracle,Agility,FALSE
Orion,Agility,TRUE
Osiris,Agility,FALSE
Overtkill,Agility,FALSE
Ozymandias,Agility,TRUE
Parademon,Agility,FALSE
Peek-a-Boo,Agility,FALSE
Penance II,Agility,FALSE
Penguin,Agility,FALSE
Peter Petrelli,Agility,FALSE
Phantom,Agility,FALSE
Phantom Girl,Agility,FALSE
Phoenix,Agility,TRUE
Plantman,Agility,FALSE
Plastic Man,Agility,TRUE
Plastique,Agility,FALSE
Poison Ivy,Agility,TRUE
Polaris,Agility,FALSE
Power Girl,Agility,TRUE
Predator,Agility,FALSE
Professor X,Agility,FALSE
Professor Zoom,Agility,FALSE
Proto-Goblin,Agility,TRUE
Psylocke,Agility,TRUE
Punisher,Agility,TRUE
Purple Man,Agility,FALSE
Pyro,Agility,FALSE
Q,Agility,FALSE
Quantum,Agility,FALSE
Queen Hippolyta,Agility,TRUE
Question,Agility,TRUE
Quicksilver,Agility,FALSE
Quill,Agility,FALSE
Ra's Al Ghul,Agility,TRUE
Rachel Pirzad,Agility,FALSE
Rambo,Agility,TRUE
Raphael,Agility,TRUE
Raven,Agility,FALSE
Ray,Agility,FALSE
Razor-Fist II,Agility,FALSE
Reactron,Agility,FALSE
Red Arrow,Agility,TRUE
Red Hood,Agility,TRUE
Red Hulk,Agility,FALSE
Red Mist,Agility,TRUE
Red Robin,Agility,TRUE
Red Skull,Agility,FALSE
Red Tornado,Agility,TRUE
Redeemer II,Agility,FALSE
Redeemer III,Agility,FALSE
Rey,Agility,TRUE
Rhino,Agility,FALSE
Rick Flag,Agility,FALSE
Riddler,Agility,FALSE
Rip Hunter,Agility,FALSE
Ripcord,Agility,FALSE
Robin,Agility,FALSE
Robin II,Agility,TRUE
Robin III,Agility,TRUE
Robin V,Agility,TRUE
Robin VI,Agility,TRUE
Rocket Raccoon,Agility,TRUE
Rogue,Agility,FALSE
Rorschach,Agility,TRUE
SHDB,Agility,FALSE
Sabretooth,Agility,TRUE
Sage,Agility,FALSE
Sandman,Agility,TRUE
Sasquatch,Agility,TRUE
Sauron,Agility,FALSE
Savage Dragon,Agility,FALSE
Scarecrow,Agility,FALSE
Scarlet Spider,Agility,TRUE
Scarlet Spider II,Agility,TRUE
Scarlet Witch,Agility,TRUE
Scorpia,Agility,FALSE
Scorpion,Agility,TRUE
Sebastian Shaw,Agility,TRUE
Sentry,Agility,TRUE
Shadow King,Agility,FALSE
Shadow Lass,Agility,TRUE
Shadowcat,Agility,FALSE
Shang-Chi,Agility,TRUE
Shatterstar,Agility,TRUE
She-Hulk,Agility,FALSE
She-Thing,Agility,FALSE
Shocker,Agility,FALSE
Shriek,Agility,FALSE
Sif,Agility,TRUE
Silk,Agility,TRUE
Silk Spectre,Agility,FALSE
Silk Spectre II,Agility,FALSE
Silver Surfer,Agility,TRUE
Silverclaw,Agility,TRUE
Simon Baz,Agility,TRUE
Sinestro,Agility,TRUE
Siren,Agility,FALSE
Siren II,Agility,FALSE
Siryn,Agility,FALSE
Skaar,Agility,FALSE
Snowbird,Agility,FALSE
Sobek,Agility,FALSE
Solomon Grundy,Agility,FALSE
Songbird,Agility,TRUE
Space Ghost,Agility,TRUE
Spawn,Agility,TRUE
Spectre,Agility,TRUE
Speedball,Agility,FALSE
Speedy,Agility,FALSE
Spider-Girl,Agility,TRUE
Spider-Gwen,Agility,TRUE
Spider-Man,Agility,TRUE
Spider-Woman,Agility,TRUE
Spider-Woman III,Agility,TRUE
Spider-Woman IV,Agility,TRUE
Spock,Agility,FALSE
Spyke,Agility,FALSE
Star-Lord,Agility,TRUE
Stardust,Agility,FALSE
Starfire,Agility,FALSE
Stargirl,Agility,TRUE
Static,Agility,TRUE
Steel,Agility,FALSE
Stephanie Powell,Agility,FALSE
Steppenwolf,Agility,TRUE
Storm,Agility,FALSE
Stormtrooper,Agility,FALSE
Stretch Armstrong,Agility,FALSE
Sunspot,Agility,FALSE
Superboy,Agility,FALSE
Superboy-Prime,Agility,FALSE
Supergirl,Agility,TRUE
Superman,Agility,TRUE
Swamp Thing,Agility,FALSE
Swarm,Agility,FALSE
Sylar,Agility,FALSE
Synch,Agility,FALSE
T-1000,Agility,TRUE
T-800,Agility,FALSE
T-850,Agility,FALSE
T-X,Agility,TRUE
TEST,Agility,FALSE
Taskmaster,Agility,TRUE
Tempest,Agility,FALSE
Thanos,Agility,TRUE
The Cape,Agility,FALSE
The Comedian,Agility,FALSE
Thing,Agility,FALSE
Thor,Agility,TRUE
Thor Girl,Agility,FALSE
Thunderbird,Agility,FALSE
Thunderbird III,Agility,FALSE
Thunderstrike,Agility,FALSE
Thundra,Agility,TRUE
Tiger Shark,Agility,TRUE
Tigra,Agility,TRUE
Tinkerer,Agility,FALSE
Titan,Agility,FALSE
Toad,Agility,TRUE
Tommy Clarke,Agility,FALSE
Toxin,Agility,TRUE
Tracy Strauss,Agility,FALSE
Trickster,Agility,FALSE
Trigon,Agility,FALSE
Triplicate Girl,Agility,FALSE
Triton,Agility,TRUE
Tyrant,Agility,FALSE
Ultragirl,Agility,FALSE
Ultron,Agility,TRUE
Utgard-Loki,Agility,FALSE
Valerie Hart,Agility,TRUE
Valkyrie,Agility,FALSE
Vanisher,Agility,FALSE
Vegeta,Agility,TRUE
Venom,Agility,FALSE
Venom II,Agility,TRUE
Venom III,Agility,TRUE
Venompool,Agility,TRUE
Vertigo II,Agility,FALSE
Vibe,Agility,FALSE
Vindicator,Agility,FALSE
Violator,Agility,FALSE
Violet Parr,Agility,FALSE
Vision,Agility,FALSE
Vixen,Agility,TRUE
Vulture,Agility,TRUE
Walrus,Agility,FALSE
War Machine,Agility,FALSE
Warlock,Agility,TRUE
Warp,Agility,FALSE
Warpath,Agility,TRUE
Wasp,Agility,TRUE
Watcher,Agility,FALSE
Weapon XI,Agility,TRUE
White Canary,Agility,TRUE
Wildfire,Agility,FALSE
Winter Soldier,Agility,FALSE
Wolfsbane,Agility,FALSE
Wolverine,Agility,TRUE
Wonder Girl,Agility,TRUE
Wonder Man,Agility,FALSE
Wonder Woman,Agility,FALSE
X-23,Agility,TRUE
X-Man,Agility,FALSE
Yellowjacket,Agility,FALSE
Yellowjacket II,Agility,FALSE
Ymir,Agility,FALSE
Yoda,Agility,TRUE
Zatanna,Agility,FALSE
Zoom,Agility,FALSE
3-D Man,Accelerated Healing,FALSE
A-Bomb,Accelerated Healing,TRUE
Abe Sapien,Accelerated Healing,TRUE
Abin Sur,Accelerated Healing,FALSE
Abomination,Accelerated Healing,TRUE
Abraxas,Accelerated Healing,FALSE
Absorbing Man,Accelerated Healing,FALSE
Adam Monroe,Accelerated Healing,TRUE
Adam Strange,Accelerated Healing,FALSE
Agent Bob,Accelerated Healing,FALSE
Agent Zero,Accelerated Healing,FALSE
Air-Walker,Accelerated Healing,FALSE
Ajax,Accelerated Healing,FALSE
Alan Scott,Accelerated Healing,FALSE
Alex Mercer,Accelerated Healing,TRUE
Alex Woolsly,Accelerated Healing,FALSE
Alien,Accelerated Healing,FALSE
Allan Quatermain,Accelerated Healing,FALSE
Amazo,Accelerated Healing,FALSE
Ammo,Accelerated Healing,FALSE
Ando Masahashi,Accelerated Healing,FALSE
Angel,Accelerated Healing,TRUE
Angel Dust,Accelerated Healing,FALSE
Angel Salvadore,Accelerated Healing,FALSE
Angela,Accelerated Healing,FALSE
Animal Man,Accelerated Healing,FALSE
Annihilus,Accelerated Healing,FALSE
Ant-Man,Accelerated Healing,FALSE
Ant-Man II,Accelerated Healing,FALSE
Anti-Monitor,Accelerated Healing,TRUE
Anti-Spawn,Accelerated Healing,FALSE
Anti-Venom,Accelerated Healing,TRUE
Apocalypse,Accelerated Healing,TRUE
Aquababy,Accelerated Healing,FALSE
Aqualad,Accelerated Healing,FALSE
Aquaman,Accelerated Healing,TRUE
Arachne,Accelerated Healing,TRUE
Archangel,Accelerated Healing,TRUE
Arclight,Accelerated Healing,FALSE
Ardina,Accelerated Healing,TRUE
Ares,Accelerated Healing,TRUE
Ariel,Accelerated Healing,FALSE
Armor,Accelerated Healing,FALSE
Astro Boy,Accelerated Healing,FALSE
Atlas,Accelerated Healing,FALSE
Atom,Accelerated Healing,FALSE
Atom Girl,Accelerated Healing,FALSE
Atom II,Accelerated Healing,FALSE
Atom III,Accelerated Healing,FALSE
Atom IV,Accelerated Healing,FALSE
Aurora,Accelerated Healing,TRUE
Azazel,Accelerated Healing,TRUE
Azrael,Accelerated Healing,FALSE
Aztar,Accelerated Healing,FALSE
Bananaman,Accelerated Healing,FALSE
Bane,Accelerated Healing,FALSE
Banshee,Accelerated Healing,FALSE
Bantam,Accelerated Healing,FALSE
Batgirl,Accelerated Healing,FALSE
Batgirl IV,Accelerated Healing,FALSE
Batgirl VI,Accelerated Healing,FALSE
Batman,Accelerated Healing,FALSE
Batman II,Accelerated Healing,FALSE
Battlestar,Accelerated Healing,FALSE
Batwoman V,Accelerated Healing,FALSE
Beak,Accelerated Healing,FALSE
Beast,Accelerated Healing,TRUE
Beast Boy,Accelerated Healing,FALSE
Ben 10,Accelerated Healing,FALSE
Beta Ray Bill,Accelerated Healing,TRUE
Beyonder,Accelerated Healing,TRUE
Big Barda,Accelerated Healing,FALSE
Big Daddy,Accelerated Healing,FALSE
Big Man,Accelerated Healing,FALSE
Bill Harken,Accelerated Healing,FALSE
Billy Kincaid,Accelerated Healing,FALSE
Binary,Accelerated Healing,FALSE
Bionic Woman,Accelerated Healing,FALSE
Bird-Brain,Accelerated Healing,FALSE
Bird-Man,Accelerated Healing,FALSE
Bird-Man II,Accelerated Healing,FALSE
Birdman,Accelerated Healing,FALSE
Bishop,Accelerated Healing,TRUE
Bizarro,Accelerated Healing,TRUE
Bizarro-Girl,Accelerated Healing,TRUE
Black Abbott,Accelerated Healing,FALSE
Black Adam,Accelerated Healing,TRUE
Black Bolt,Accelerated Healing,FALSE
Black Canary,Accelerated Healing,FALSE
Black Cat,Accelerated Healing,FALSE
Black Flash,Accelerated Healing,FALSE
Black Knight III,Accelerated Healing,FALSE
Black Lightning,Accelerated Healing,FALSE
Black Mamba,Accelerated Healing,FALSE
Black Manta,Accelerated Healing,FALSE
Black Panther,Accelerated Healing,FALSE
Black Vulcan,Accelerated Healing,FALSE
Black Widow,Accelerated Healing,FALSE
Blackout,Accelerated Healing,TRUE
Blackwing,Accelerated Healing,FALSE
Blackwulf,Accelerated Healing,FALSE
Blade,Accelerated Healing,TRUE
Bling!,Accelerated Healing,FALSE
Blink,Accelerated Healing,FALSE
Blizzard,Accelerated Healing,FALSE
Blizzard II,Accelerated Healing,FALSE
Blob,Accelerated Healing,FALSE
Bloodaxe,Accelerated Healing,FALSE
Bloodhawk,Accelerated Healing,FALSE
Bloodwraith,Accelerated Healing,FALSE
Blue Beetle,Accelerated Healing,FALSE
Blue Beetle II,Accelerated Healing,FALSE
Blue Beetle III,Accelerated Healing,TRUE
Blue Streak,Accelerated Healing,TRUE
Boba Fett,Accelerated Healing,FALSE
Bomb Queen,Accelerated Healing,TRUE
Boom-Boom,Accelerated Healing,FALSE
Booster Gold,Accelerated Healing,FALSE
Box IV,Accelerated Healing,FALSE
Bradley,Accelerated Healing,FALSE
Brainiac,Accelerated Healing,FALSE
Brainiac 5,Accelerated Healing,FALSE
Brother Voodoo,Accelerated Healing,FALSE
Brundlefly,Accelerated Healing,FALSE
Buffy,Accelerated Healing,TRUE
Bullseye,Accelerated Healing,FALSE
Bumblebee,Accelerated Healing,FALSE
Bumbleboy,Accelerated Healing,FALSE
Bushido,Accelerated Healing,FALSE
Cable,Accelerated Healing,TRUE
Callisto,Accelerated Healing,TRUE
Cameron Hicks,Accelerated Healing,FALSE
Cannonball,Accelerated Healing,FALSE
Captain America,Accelerated Healing,FALSE
Captain Atom,Accelerated Healing,TRUE
Captain Britain,Accelerated Healing,FALSE
Captain Cold,Accelerated Healing,FALSE
Captain Epic,Accelerated Healing,FALSE
Captain Hindsight,Accelerated Healing,FALSE
Captain Marvel,Accelerated Healing,TRUE
Captain Marvel II,Accelerated Healing,FALSE
Captain Midnight,Accelerated Healing,FALSE
Captain Planet,Accelerated Healing,FALSE
Captain Universe,Accelerated Healing,FALSE
Carnage,Accelerated Healing,TRUE
Cat,Accelerated Healing,FALSE
Catwoman,Accelerated Healing,FALSE
Century,Accelerated Healing,FALSE
Cerebra,Accelerated Healing,FALSE
Chamber,Accelerated Healing,FALSE
Chameleon,Accelerated Healing,FALSE
Changeling,Accelerated Healing,FALSE
Cheetah,Accelerated Healing,FALSE
Cheetah II,Accelerated Healing,FALSE
Cheetah III,Accelerated Healing,FALSE
Chromos,Accelerated Healing,FALSE
Chuck Norris,Accelerated Healing,FALSE
Citizen Steel,Accelerated Healing,FALSE
Claire Bennet,Accelerated Healing,TRUE
Clayface,Accelerated Healing,FALSE
Cloak,Accelerated Healing,FALSE
Cogliostro,Accelerated Healing,FALSE
Colossus,Accelerated Healing,FALSE
Concrete,Accelerated Healing,FALSE
Copycat,Accelerated Healing,FALSE
Cottonmouth,Accelerated Healing,FALSE
Crimson Crusader,Accelerated Healing,FALSE
Crimson Dynamo,Accelerated Healing,FALSE
Crystal,Accelerated Healing,FALSE
Curse,Accelerated Healing,FALSE
Cy-Gor,Accelerated Healing,FALSE
Cyborg,Accelerated Healing,FALSE
Cyborg Superman,Accelerated Healing,FALSE
Cyclops,Accelerated Healing,FALSE
DL Hawkins,Accelerated Healing,FALSE
Dagger,Accelerated Healing,FALSE
Daphne Powell,Accelerated Healing,FALSE
Daredevil,Accelerated Healing,FALSE
Darkhawk,Accelerated Healing,FALSE
Darkman,Accelerated Healing,FALSE
Darkseid,Accelerated Healing,TRUE
Darkstar,Accelerated Healing,FALSE
